id,1,2,3,4
214,210,544,52,0
215,487,197,22,0
216,19,166,527,73
217,0,23,281,831
218,68,522,219,10
219,0,72,630,226
220,0,65,448,226
221,0,54,465,226
222,0,75,620,209
223,602,305,29,3
224,0,47,430,183
225,22,198,676,82
226,0,91,860,423
227,241,491,69,0
228,190,1522,348,20
229,54,630,268,33
230,0,92,720,239
231,70,526,219,20
232,60,455,208,19
233,524,893,130,0
234,20,232,478,64
235,212,610,79,0
236,12,579,2859,558
237,0,16,236,647
238,0,27,203,188
239,124,186,22,0
240,63,808,1796,204
241,0,63,524,287
242,52,553,195,21
243,23,221,507,61
244,28,274,521,69
245,0,21,228,189
246,0,62,529,219
247,0,85,742,1083
248,0,18,271,527
249,0,22,227,616
250,192,439,58,0
251,0,102,591,275
252,48,510,272,22
253,825,260,22,0
254,596,249,14,0
255,0,15,217,507
256,2,73,597,203
257,0,82,654,390
258,0,18,181,485
259,69,587,236,23
260,0,65,487,186
261,0,58,492,209
262,39,327,37,0
263,205,557,72,0
264,27,257,545,59
265,495,215,18,0
266,25,259,526,66
267,0,64,485,215
268,0,58,505,224
269,538,225,15,0
270,2,83,632,219
271,29,295,321,45
272,65,469,216,21
273,19,284,855,105
274,2,73,631,274
275,0,19,223,574
276,0,22,197,490
277,0,28,203,567
278,18,236,553,77
279,249,484,66,0
280,0,19,216,497
281,4,15,232,485
282,474,209,28,0
283,0,24,250,512
284,2,97,677,398
285,0,19,214,562
286,23,213,459,78
287,71,654,278,25
288,0,26,236,519
289,28,456,1280,158
290,465,219,25,0
291,0,81,618,334
292,430,199,24,0
293,25,225,466,72
294,242,573,63,0
295,255,282,33,0
296,43,540,805,101
297,467,192,19,2
298,205,465,71,0
299,23,235,490,69
300,74,626,258,31
301,54,654,291,23
302,446,227,19,0
303,1,85,725,265
304,0,20,265,1206
305,372,1007,114,0
306,85,747,245,19
307,72,504,228,17
308,0,68,543,229
309,512,202,25,0
310,564,273,16,0
311,0,15,213,446
312,617,237,21,0
313,1,24,188,492
314,29,362,42,2
315,27,224,521,70
316,0,14,218,502
317,110,713,412,55
318,0,74,603,291
319,2,104,856,258
320,70,595,235,18
321,64,487,207,18
322,185,451,54,0
323,90,685,287,21
324,0,19,257,576
325,716,226,22,0
326,0,18,239,611
327,0,31,236,565
328,0,77,744,403
329,62,482,188,20
330,385,743,84,0
331,568,261,20,0
332,0,19,241,983
333,20,234,511,76
334,13,239,449,59
335,561,254,22,0
336,5,142,1079,294
337,350,564,85,3
338,60,466,211,14
339,0,59,474,187
340,19,188,513,62
341,223,456,71,0
342,547,258,30,0
343,484,202,24,0
344,51,527,862,98
345,21,219,604,47
346,92,612,321,26
347,0,89,640,222
348,17,257,603,71
349,181,462,57,0
350,0,73,582,234
351,0,13,219,482
352,0,29,363,813
353,0,15,203,514
354,50,509,189,13
355,305,683,93,0
356,0,21,266,530
357,35,301,714,98
358,0,98,865,545
359,566,234,21,0
360,61,632,333,27
361,0,75,620,250
362,34,490,1135,121
363,0,22,222,508
364,57,501,208,24
365,0,36,488,212
366,0,19,246,537
367,58,478,217,22
368,0,18,275,568
369,876,501,53,0
370,22,252,645,75
371,0,64,556,294
372,0,24,223,528
373,29,252,661,80
374,60,515,228,21
375,0,85,611,287
376,0,65,516,213
377,243,497,52,0
378,66,590,279,23
379,22,237,499,65
380,2,172,1245,722
381,59,482,212,21
382,0,23,327,599
383,62,559,209,23
384,0,55,465,236
385,15,254,780,82
386,16,220,490,61
387,474,190,22,2
388,76,735,434,50
389,30,244,473,55
390,24,202,226,19
391,203,458,62,0
392,0,47,519,217
393,558,257,21,0
394,562,211,16,0
395,25,184,497,69
396,250,561,67,0
397,15,233,761,80
398,569,214,19,0
399,201,214,26,0
400,0,66,443,222
401,0,17,219,655
402,24,210,201,29
403,67,524,205,25
404,69,553,234,18
405,74,569,218,21
406,52,490,205,22
407,481,187,20,0
408,78,675,261,22
409,0,12,150,145
410,13,214,501,68
411,17,202,491,65
412,3,20,210,211
413,0,14,218,634
414,46,359,44,0
415,0,25,236,628
416,0,11,298,1268
417,209,474,63,3
418,551,297,18,0
419,44,464,209,22
420,0,43,322,41
421,14,142,158,14
422,0,15,243,522
423,0,71,666,419
424,635,320,28,0
425,0,32,181,235
426,1,46,386,56
427,375,682,54,0
428,790,572,55,0
429,16,260,608,83
430,1157,264,15,1
431,47,524,218,22
432,13,226,675,83
433,0,16,211,539
434,0,16,186,479
435,0,18,212,440
436,0,50,523,274
437,0,27,296,533
438,61,517,216,19
439,101,665,297,14
440,54,445,180,11
441,400,664,69,0
442,536,249,23,2
443,0,96,769,283
444,240,483,58,1
445,76,594,340,20
446,222,471,55,0
447,643,229,26,0
448,0,22,207,491
449,67,505,196,19
450,81,703,263,23
451,364,220,23,0
452,188,230,20,0
453,22,208,468,72
454,0,108,717,489
455,602,276,20,0
456,12,198,635,93
457,194,527,48,1
458,73,618,266,17
459,776,1011,121,0
460,18,190,509,52
461,68,593,313,32
462,20,279,742,87
463,0,15,204,527
464,46,346,574,78
465,241,492,63,0
466,20,198,471,63
467,16,257,654,81
468,0,16,220,475
469,462,215,24,0
470,208,466,44,0
471,31,252,640,74
472,0,23,274,541
473,18,251,529,62
474,524,204,17,0
475,22,279,602,72
476,200,485,65,0
477,627,225,20,0
478,0,16,202,458
479,16,216,523,60
480,551,231,22,0
481,222,496,52,0
482,248,561,82,0
483,28,238,483,47
484,0,19,213,492
485,67,564,287,26
486,488,223,21,0
487,0,15,210,482
488,3,49,301,39
489,196,437,51,0
490,0,136,1135,689
491,513,217,16,0
492,0,17,222,531
493,16,191,475,55
494,60,483,209,29
495,270,789,97,0
496,640,385,36,0
497,44,470,208,16
498,268,575,57,0
499,0,15,252,554
500,0,29,282,718
501,663,1108,142,0
502,24,231,485,63
503,2027,807,58,0
504,442,178,22,0
505,0,46,483,219
506,29,224,650,80
507,0,33,323,688
508,222,450,43,0
509,0,26,196,461
510,0,24,243,536
511,0,25,253,630
512,571,270,36,0
513,52,507,219,26
514,50,471,64,0
515,62,570,239,23
516,0,58,512,218
517,3,66,599,216
518,28,362,1458,178
519,12,210,497,65
520,192,601,80,0
521,0,12,199,547
522,711,406,42,0
523,0,19,234,537
524,364,2062,929,87
525,304,1033,111,0
526,15,245,676,94
527,481,249,26,0
528,78,563,225,22
529,0,60,492,223
530,45,555,264,24
531,0,59,467,219
532,444,215,17,0
533,57,597,194,26
534,90,861,253,23
535,1,27,240,508
536,64,491,213,13
537,22,202,465,80
538,225,531,64,5
539,55,476,176,22
540,0,55,468,199
541,510,211,24,0
542,0,19,228,578
543,76,566,261,23
544,79,484,233,15
545,223,516,65,0
546,276,545,56,0
547,65,548,204,22
548,187,170,19,0
549,61,533,232,19
550,23,274,608,58
551,221,512,54,0
552,521,199,23,0
553,283,548,71,0
554,0,28,327,614
555,0,43,379,669
556,51,484,251,19
557,535,215,16,0
558,72,612,296,26
559,14,215,618,79
560,616,244,19,0
561,50,540,230,11
562,65,505,200,17
563,24,192,210,27
564,547,216,18,0
565,497,197,18,0
566,59,546,263,25
567,35,354,677,86
568,18,281,886,103
569,0,57,537,236
570,465,213,15,1
571,64,518,213,20
572,0,63,502,202
573,167,168,18,1
574,446,197,10,0
575,0,32,271,509
576,222,492,59,0
577,0,24,226,515
578,0,18,218,525
579,0,13,216,423
580,26,156,180,13
581,544,227,19,0
582,0,56,435,214
583,0,32,333,595
584,15,173,164,24
585,0,20,193,490
586,266,569,64,2
587,49,439,200,21
588,0,20,204,481
589,211,502,45,0
590,557,227,19,0
591,462,186,14,0
592,0,49,532,212
593,653,979,114,0
594,0,73,734,396
595,0,15,208,485
596,1610,723,71,0
597,2,33,353,654
598,0,56,465,200
599,142,154,26,0
600,1030,594,73,1
601,78,564,274,30
602,0,13,199,538
603,602,242,27,0
604,0,56,470,204
605,26,437,708,57
606,226,505,69,0
607,531,191,20,0
608,105,800,328,32
609,54,500,210,18
610,130,1032,712,94
611,67,551,194,12
612,1,21,231,528
613,0,14,197,504
614,0,27,236,463
615,572,260,13,0
616,0,67,475,200
617,0,63,506,192
618,26,276,564,94
619,17,209,550,65
620,453,197,20,0
621,327,689,71,0
622,0,75,705,225
623,1,86,578,214
624,484,203,22,0
625,249,536,73,0
626,30,245,463,52
627,0,68,508,239
628,96,740,320,20
629,3,58,525,244
630,283,579,61,2
631,0,20,210,479
632,26,275,629,71
633,0,295,2507,507
634,189,575,51,2
635,0,55,493,208
636,20,196,462,62
637,531,207,15,0
638,0,128,997,298
639,0,46,610,251
640,147,1198,493,54
641,0,10,195,497
642,0,65,491,185
643,93,680,322,33
644,217,715,76,0
645,72,494,193,20
646,491,231,27,0
647,0,20,227,527
648,194,453,69,0
649,254,582,69,0
650,202,473,56,0
651,0,22,229,559
652,0,21,219,501
653,69,531,229,11
654,62,536,264,25
655,0,19,197,505
656,74,541,229,25
657,72,571,338,36
658,520,207,11,0
659,0,21,223,511
660,0,24,224,454
661,17,189,540,66
662,18,241,492,60
663,69,567,227,18
664,0,18,222,499
665,242,527,56,0
666,238,543,70,0
667,18,299,525,84
668,0,32,303,1051
669,0,86,555,248
670,0,13,205,554
671,0,79,516,199
672,548,234,19,0
673,97,700,220,15
674,19,198,582,74
675,187,602,85,0
676,521,226,22,0
677,0,60,428,190
678,67,621,276,24
679,0,230,1998,641
680,0,89,688,271
681,0,53,595,241
682,0,80,745,495
683,494,225,18,4
684,73,546,203,16
685,0,52,535,221
686,11,232,493,73
687,30,261,602,57
688,0,87,644,267
689,37,330,44,0
690,286,523,74,0
691,0,29,267,623
692,25,205,447,50
693,0,18,170,172
694,0,65,504,223
695,520,246,16,0
696,251,577,81,3
697,0,68,526,205
698,0,74,645,226
699,0,31,241,216
700,0,50,486,208
701,23,240,525,68
702,34,361,853,281
703,0,18,225,653
704,0,23,196,503
705,507,265,22,0
706,1194,734,66,0
707,85,787,311,32
708,222,547,65,0
709,488,182,13,0
710,14,223,506,52
711,18,204,548,71
712,69,517,243,24
713,0,36,400,1029
714,1,126,907,289
715,0,70,485,197
716,0,25,258,557
717,616,599,75,1
718,16,208,491,49
719,24,217,484,54
720,46,361,55,0
721,638,297,21,0
722,0,20,251,903
723,214,553,58,1
724,230,463,55,1
725,613,913,108,0
726,0,14,242,545
727,241,503,70,0
728,29,234,507,60
729,241,506,60,0
730,0,24,224,664
731,521,225,20,0
732,0,67,623,371
733,0,13,217,519
734,24,256,474,57
735,225,588,66,0
736,0,13,187,459
737,0,60,564,216
738,3,70,511,235
739,1,15,204,513
740,2028,316,11,0
741,0,24,377,1756
742,69,569,216,22
743,0,25,228,584
744,513,236,12,0
745,53,504,197,15
746,0,20,174,161
747,0,90,660,251
748,226,522,56,1
749,499,245,20,0
750,31,262,516,80
751,0,39,316,29
752,612,869,105,2
753,725,441,60,0
754,0,17,271,584
755,0,16,188,467
756,17,212,475,50
757,55,503,224,28
758,531,256,18,0
759,78,667,366,40
760,0,65,626,305
761,2,64,486,196
762,23,234,462,43
763,137,959,366,42
764,224,495,42,0
765,261,517,70,0
766,0,61,540,205
767,59,475,224,21
768,511,221,23,0
769,26,228,515,58
770,0,69,604,1088
771,267,673,81,0
772,571,246,21,0
773,88,632,307,22
774,0,64,518,211
775,274,606,74,0
776,521,195,14,0
777,0,13,265,1009
778,207,573,61,0
779,758,251,18,0
780,0,47,303,47
781,0,56,517,218
782,291,1324,253,11
783,72,642,277,19
784,0,24,189,204
785,0,18,199,507
786,21,190,473,57
787,0,58,472,208
788,25,213,579,68
789,83,655,272,10
790,488,235,18,0
791,211,500,65,0
792,72,453,213,22
793,235,561,56,1
794,0,28,205,202
795,723,366,40,0
796,344,722,78,2
797,920,375,33,0
798,26,295,1040,116
799,0,56,483,202
800,433,216,17,0
801,20,206,492,66
802,1122,470,44,0
803,67,543,272,37
804,15,225,512,55
805,461,219,26,0
806,58,440,200,28
807,0,60,448,203
808,23,240,553,68
809,55,537,237,26
810,217,559,51,0
811,83,506,232,13
812,554,248,28,0
813,504,210,19,2
814,0,17,185,504
815,21,200,183,24
816,23,231,516,62
817,62,521,261,22
818,22,215,544,61
819,99,750,352,25
820,440,204,20,0
821,0,63,548,240
822,20,227,531,58
823,599,219,16,2
824,0,59,531,68
825,212,489,63,0
826,0,27,292,562
827,628,278,36,0
828,207,482,55,0
829,448,218,19,0
830,0,19,230,464
831,19,213,509,44
832,20,295,1200,116
833,281,516,58,0
834,0,19,235,478
835,29,285,649,81
836,0,31,239,503
837,0,73,580,257
838,1,21,193,455
839,0,52,506,224
840,0,57,492,186
841,58,447,217,23
842,590,286,33,0
843,1,15,210,579
844,0,22,278,587
845,545,219,26,1
846,22,231,543,68
847,200,474,52,0
848,17,269,538,74
849,487,207,16,0
850,15,242,461,60
851,0,22,271,568
852,0,65,543,266
853,2,21,225,498
854,15,171,140,13
855,0,43,375,698
856,0,19,196,529
857,162,1369,771,85
858,0,69,494,235
859,209,639,55,3
860,0,71,503,219
861,541,251,15,3
862,59,447,211,26
863,0,14,241,506
864,18,215,580,63
865,687,258,23,0
866,23,266,500,54
867,22,228,507,46
868,50,461,214,25
869,420,201,21,0
870,0,74,618,281
871,0,72,656,273
872,0,20,161,168
873,507,207,17,0
874,24,228,611,80
875,0,15,191,489
876,61,608,1233,140
877,0,17,221,620
878,2,16,194,479
879,0,40,291,40
880,501,198,21,0
881,20,285,766,89
882,67,608,319,37
883,492,192,19,0
884,90,705,235,21
885,248,509,61,0
886,575,859,102,0
887,261,523,70,0
888,0,7,251,697
889,221,584,69,0
890,0,55,481,260
891,557,227,20,2
892,85,604,233,18
893,21,273,587,59
894,57,524,229,17
895,0,59,520,265
896,19,205,501,66
897,1356,734,72,0
898,0,23,213,541
899,23,243,513,59
900,0,22,195,459
901,24,253,717,93
902,1566,608,48,0
903,0,31,342,658
904,593,359,37,0
905,55,516,233,21
906,12,195,496,72
907,0,65,510,196
908,65,536,215,14
909,0,19,231,500
910,23,361,617,85
911,0,16,183,200
912,565,207,19,0
913,3,22,197,542
914,205,459,56,0
915,70,650,245,23
916,0,79,782,392
917,60,478,233,17
918,68,561,298,31
919,55,479,191,27
920,271,639,74,0
921,0,68,611,297
922,606,256,16,0
923,97,671,402,53
924,0,16,184,494
925,0,69,530,247
926,0,78,734,329
927,62,453,240,35
928,60,517,208,26
929,296,628,70,0
930,1,75,607,218
931,0,80,514,233
932,13,202,443,55
933,280,854,117,0
934,16,219,561,59
935,0,19,221,568
936,451,181,18,0
937,0,115,896,259
938,0,25,210,480
939,22,205,583,72
940,627,224,17,0
941,0,25,229,499
942,0,178,1541,301
943,7,224,567,65
944,55,498,189,18
945,190,479,53,0
946,22,173,488,50
947,462,217,22,0
948,283,525,54,0
949,0,23,243,628
950,0,65,572,212
951,223,543,72,0
952,528,238,26,0
953,39,566,1719,623
954,518,205,19,0
955,0,23,237,684
956,22,252,502,49
957,193,412,65,0
958,17,217,492,65
959,57,546,290,22
960,0,24,228,497
961,21,274,615,62
962,207,501,70,0
963,1612,261,8,0
964,637,271,23,0
965,555,214,32,0
966,545,225,11,0
967,214,497,75,0
968,74,520,222,18
969,21,212,527,76
970,23,247,773,79
971,262,694,102,0
972,549,208,19,0
973,0,24,220,478
974,571,1316,157,0
975,64,546,216,24
976,196,504,58,0
977,0,26,242,564
978,0,55,462,198
979,28,321,39,0
980,0,68,631,343
981,13,223,490,61
982,68,599,315,26
983,709,339,36,0
984,53,482,207,18
985,1,29,245,565
986,21,244,630,91
987,0,54,513,239
988,590,918,99,0
989,1,19,226,518
990,222,510,66,0
991,0,18,206,501
992,47,621,1010,96
993,0,33,325,685
994,481,234,17,0
995,505,210,23,0
996,0,58,460,218
997,578,325,25,0
998,0,11,219,616
999,24,277,605,75
1000,49,429,209,20
1001,53,450,223,23
1002,572,230,15,0
1003,0,75,649,244
1004,222,452,65,0
1005,586,232,10,0
1006,17,189,441,54
1007,65,542,241,17
1008,513,186,22,0
1009,202,446,61,0
1010,0,58,475,253
1011,206,545,60,0
1012,322,819,114,0
1013,21,239,531,64
1014,70,547,252,21
1015,250,264,24,5
1016,216,460,66,0
1017,0,106,947,709
1018,665,233,22,0
1019,0,51,440,223
1020,90,714,473,43
1021,26,202,491,66
1022,435,224,16,0
1023,47,461,212,18
1024,605,215,17,0
1025,194,455,72,0
1026,42,286,28,0
1027,0,14,196,225
1028,0,9,160,178
1029,0,71,516,224
1030,617,234,16,0
1031,233,510,68,0
1032,360,1629,194,0
1033,14,210,487,73
1034,238,543,66,0
1035,0,20,189,454
1036,0,47,495,222
1037,598,316,29,0
1038,66,656,266,20
1039,524,219,21,2
1040,243,591,65,0
1041,219,1772,721,71
1042,196,497,58,0
1043,49,468,195,14
1044,19,212,502,55
1045,75,692,410,17
1046,0,19,256,527
1047,285,698,80,0
1048,220,631,84,0
1049,40,289,44,0
1050,66,529,233,14
1051,234,531,68,0
1052,0,55,463,211
1053,388,717,90,0
1054,492,195,13,0
1055,163,533,73,0
1056,29,402,1596,202
1057,25,244,561,75
1058,0,56,507,219
1059,72,716,1082,145
1060,0,57,462,203
1061,2,38,369,33
1062,0,79,734,444
1063,496,209,14,0
1064,486,183,18,0
1065,0,24,229,539
1066,977,1735,210,1
1067,532,241,20,0
1068,507,251,19,0
1069,0,25,226,566
1070,0,18,184,524
1071,0,97,739,411
1072,82,510,250,22
1073,42,477,228,19
1074,16,230,495,57
1075,244,549,54,0
1076,0,19,234,482
1077,54,559,254,13
1078,1259,337,19,0
1079,0,53,451,203
1080,47,352,55,0
1081,11,219,592,50
1082,200,539,55,0
1083,299,622,63,0
1084,2,28,283,601
1085,202,468,59,0
1086,212,539,55,0
1087,556,227,26,0
1088,528,205,18,0
1089,0,65,473,236
1090,24,217,537,70
1091,504,220,19,0
1092,26,184,186,24
1093,49,533,188,13
1094,292,599,86,0
1095,0,36,369,599
1096,0,83,749,493
1097,492,930,91,0
1098,473,198,19,0
1099,245,461,64,0
1100,36,294,765,83
1101,0,85,804,1020
1102,132,1096,335,22
1103,535,220,23,0
1104,0,69,636,289
1105,0,64,465,249
1106,0,46,500,194
1107,14,209,421,37
1108,569,195,14,0
1109,0,95,697,342
1110,0,19,202,534
1111,0,21,240,486
1112,24,205,230,26
1113,258,518,80,0
1114,543,205,16,0
1115,66,519,32,31
1116,0,66,632,315
1117,224,458,62,0
1118,45,323,32,0
1119,664,431,41,0
1120,596,262,25,0
1121,0,23,199,526
1122,182,176,23,0
1123,0,57,456,177
1124,479,236,24,0
1125,75,613,279,14
1126,40,351,674,81
1127,71,571,280,33
1128,67,511,221,23
1129,0,57,485,185
1130,222,566,40,0
1131,25,293,565,78
1132,179,419,44,0
1133,713,240,17,0
1134,570,245,15,0
1135,1436,275,10,0
1136,0,71,652,272
1137,0,24,221,497
1138,0,20,227,637
1139,55,443,182,13
1140,68,512,264,24
1141,638,298,33,0
1142,66,562,205,21
1143,0,17,217,529
1144,217,495,64,0
1145,238,713,82,0
1146,22,268,300,34
1147,181,447,49,0
1148,201,454,40,0
1149,1,20,228,503
1150,64,528,245,27
1151,173,491,61,0
1152,14,250,583,64
1153,0,88,791,320
1154,0,22,269,557
1155,446,212,21,0
1156,68,638,211,19
1157,0,42,347,43
1158,45,390,191,12
1159,0,15,203,622
1160,0,61,485,219
1161,94,687,293,19
1162,5,53,500,232
1163,18,230,521,66
1164,0,21,295,612
1165,23,195,164,13
1166,0,47,505,233
1167,69,618,235,33
1168,66,554,233,25
1169,0,74,636,254
1170,57,633,293,25
1171,74,537,241,24
1172,2,7,210,469
1173,537,223,18,0
1174,0,73,860,1004
1175,66,602,279,20
1176,326,611,80,1
1177,332,572,70,0
1178,18,150,157,17
1179,21,214,496,74
1180,486,194,23,0
1181,542,210,15,0
1182,1458,322,33,2
1183,74,574,253,21
1184,168,1407,327,26
1185,673,329,40,0
1186,0,52,481,213
1187,703,1165,123,3
1188,0,67,558,271
1189,57,519,231,24
1190,0,72,527,211
1191,266,1028,91,0
1192,59,486,212,23
1193,0,52,462,1295
1194,22,299,614,59
1195,56,563,235,14
1196,55,502,202,16
1197,246,537,77,1
1198,1,70,518,225
1199,325,1172,202,2
1200,16,232,540,69
1201,22,251,595,68
1202,0,44,324,43
1203,459,1233,138,1
1204,0,58,482,224
1205,38,400,771,83
1206,0,26,200,482
1207,1148,492,39,0
1208,0,44,400,49
1209,0,21,218,497
1210,478,218,26,0
1211,60,514,211,22
1212,81,674,240,20
1213,278,505,64,0
1214,37,375,668,78
1215,18,225,560,57
1216,520,184,16,0
1217,0,58,473,56
1218,60,509,203,15
1219,0,87,795,244
1220,233,552,73,0
1221,0,66,520,227
1222,1,13,236,512
1223,239,556,71,0
1224,15,226,610,76
1225,0,20,253,1292
1226,0,10,184,484
1227,0,58,481,243
1228,0,27,215,543
1229,0,23,206,646
1230,0,75,569,194
1231,15,202,449,63
1232,491,205,23,0
1233,0,18,229,478
1234,503,190,21,0
1235,20,240,610,79
1236,39,304,47,0
1237,218,590,71,0
1238,20,249,505,65
1239,0,13,268,584
1240,183,481,56,0
1241,0,47,363,36
1242,0,48,290,317
1243,68,644,1442,172
1244,1068,671,55,0
1245,48,529,171,21
1246,251,471,55,0
1247,52,465,220,21
1248,0,82,667,270
1249,0,63,496,253
1250,574,230,22,0
1251,227,580,66,0
1252,497,221,10,0
1253,195,574,62,0
1254,0,34,321,43
1255,46,560,1423,202
1256,736,419,53,0
1257,204,688,68,0
1258,71,505,251,20
1259,686,276,25,0
1260,29,256,566,55
1261,588,636,69,0
1262,0,50,546,843
1263,0,76,573,239
1264,60,512,268,25
1265,0,100,858,256
1266,19,233,489,54
1267,0,55,522,198
1268,65,506,207,21
1269,0,23,208,487
1270,49,267,34,0
1271,22,209,535,59
1272,0,59,556,227
1273,0,19,218,490
1274,0,21,273,622
1275,11,235,705,78
1276,51,616,193,16
1277,18,224,517,63
1278,245,532,74,0
1279,444,203,15,0
1280,392,632,75,0
1281,78,784,518,50
1282,217,543,70,0
1283,0,23,249,602
1284,262,687,87,0
1285,585,214,19,1
1286,23,187,450,54
1287,0,65,590,258
1288,0,68,660,202
1289,507,256,24,0
1290,252,530,72,0
1291,0,16,192,519
1292,0,87,681,322
1293,0,23,358,1170
1294,214,486,46,0
1295,57,817,1473,179
1296,83,772,346,23
1297,1,20,288,564
1298,565,848,108,0
1299,63,477,219,28
1300,0,171,1402,863
1301,205,494,63,0
1302,552,1419,151,0
1303,226,553,64,0
1304,23,235,479,61
1305,25,240,686,82
1306,25,241,514,67
1307,99,887,410,45
1308,0,13,210,465
1309,0,30,213,566
1310,20,240,578,72
1311,76,570,231,20
1312,0,74,481,188
1313,67,524,209,21
1314,24,214,486,56
1315,0,19,213,468
1316,535,220,21,0
1317,212,484,65,0
1318,0,83,661,385
1319,81,531,216,22
1320,639,235,33,0
1321,0,78,662,80
1322,455,185,17,0
1323,496,218,11,2
1324,623,1127,139,0
1325,490,187,23,0
1326,0,22,205,496
1327,0,19,209,562
1328,97,784,261,16
1329,90,900,498,53
1330,0,19,219,605
1331,45,506,281,26
1332,58,539,276,21
1333,475,207,19,0
1334,0,55,492,194
1335,0,167,1317,961
1336,84,665,245,25
1337,54,603,912,107
1338,0,67,637,220
1339,65,538,250,24
1340,18,189,455,56
1341,0,73,531,220
1342,69,490,193,23
1343,0,115,1073,674
1344,0,16,186,511
1345,0,25,276,550
1346,53,600,238,21
1347,16,215,458,43
1348,141,1247,454,35
1349,176,180,30,0
1350,62,586,295,15
1351,14,222,436,76
1352,335,829,95,0
1353,0,66,570,231
